dataset,p,alpha,max_iterations,levels,initial_temp,beta,sl,stage_length,p0,n_samples,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
CAB10,3,0.3,1000,10,,0.97,10,100,0.8,50,"[9, 9, 9, 9, 9, 9, 7, 8, 9, 7]",9(L3); 7(L1); 8(L1),816559819.76652,850086444.2518641,26413748.238638744,0.15231432914733886,1000.0,1000
CAB10,3,0.3,1000,10,,0.98,10,100,0.8,50,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,860982974.8141639,38286549.863609165,0.15016579627990723,1000.0,1000
CAB10,3,0.3,1000,10,,0.99,10,100,0.8,50,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,835022388.7385479,21135956.796552118,0.15341286659240722,1000.0,1000
CAB10,3,0.3,1000,10,,0.995,10,100,0.8,50,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,842156736.597604,24734740.422359012,0.15016598701477052,1000.0,1000
CAB10,4,0.3,1000,10,,0.98,10,100,0.8,50,"[4, 3, 3, 4, 4, 4, 7, 8, 4, 7]",4(L3); 3(L1); 7(L1); 8(L1),763945781.7585001,771341518.366448,14053660.287133925,0.14997529983520508,1000.0,1000
CAB10,4,0.3,1000,10,,0.99,10,100,0.8,50,"[6, 6, 3, 4, 6, 6, 7, 4, 6, 7]",6(L2); 3(L1); 4(L2); 7(L1),764438520.8870599,786269958.4847081,26907953.13549103,0.14671678543090821,1000.0,1000
CAB10,4,0.3,1000,10,,0.995,10,100,0.8,50,"[4, 3, 3, 4, 4, 4, 7, 8, 4, 7]",4(L3); 3(L1); 7(L1); 8(L1),763945781.7585001,769904911.8024962,8788940.341096515,0.15875864028930664,1000.0,1000
CAB10,4,0.3,1000,10,,0.999,10,100,0.8,50,"[4, 6, 6, 4, 4, 6, 7, 8, 6, 7]",4(L2); 6(L2); 7(L1); 8(L1),758874444.2098601,812078315.8220521,35852334.82980919,0.1813570022583008,1000.0,1000
CAB20,3,0.3,2000,10,,0.97,10,200,0.8,50,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5713821023.202768,1252222938.8666523,0.24024839401245118,1600.0,2000
CAB20,3,0.3,2000,10,,0.98,10,200,0.8,50,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5146964107.421305,261935213.43345645,0.2926793575286865,2000.0,2000
CAB20,3,0.3,2000,10,,0.99,10,200,0.8,50,"[5, 17, 17, 5, 5, 5, 5, 5, 5, 5, 5, 12, 5, 5, 5, 5, 17, 17, 12, 5]",5(L3); 17(L2); 12(L1),4924622614.58496,5107791716.186692,167630341.3300472,0.29132647514343263,2000.0,2000
CAB20,3,0.3,2000,10,,0.995,10,200,0.8,50,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,4998834646.010248,133519942.23916577,0.2922648906707764,2000.0,2000
CAB20,5,0.3,2000,10,,0.96,10,200,0.8,50,"[1, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 1, 1, 4, 1, 17, 17, 12, 17]",1(L1); 17(L2); 4(L2); 7(L1); 12(L1),3645288092.9435797,4015119623.690412,358650517.1930401,0.2915255069732666,2000.0,2000
CAB20,5,0.3,2000,10,,0.97,10,200,0.8,50,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3853595460.132184,279223272.6548315,0.2966782093048096,2000.0,2000
CAB20,5,0.3,2000,10,,0.98,10,200,0.8,50,"[1, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 1, 1, 4, 1, 17, 17, 12, 17]",1(L1); 17(L2); 4(L2); 7(L1); 12(L1),3645288092.9435797,3949792697.819832,190249447.26179647,0.29334421157836915,2000.0,2000
CAB20,5,0.3,2000,10,,0.99,10,200,0.8,50,"[1, 17, 17, 4, 6, 6, 1, 4, 6, 1, 4, 12, 4, 1, 4, 1, 17, 17, 12, 6]",1(L1); 17(L2); 4(L2); 6(L1); 12(L1),3818562750.4895196,3929302585.040332,114339929.03935039,0.2964461326599121,2000.0,2000
CAB25,3,0.3,2500,10,,0.75,10,250,0.8,50,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7989773866.748273,765541010.912824,0.356002140045166,2479.2,2478
CAB25,3,0.3,2500,10,,0.8,10,250,0.8,50,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7611113862.53301,262206152.51127368,0.3667570114135742,2500.0,2500
CAB25,3,0.3,2500,10,,0.85,10,250,0.8,50,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7456496739.157545,4630448.312887573,0.3733509063720703,2500.0,2500
CAB25,3,0.3,2500,10,,0.9,10,250,0.8,50,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7470786437.815329,22244535.625531457,0.36063261032104493,2500.0,2500
CAB25,5,0.3,2500,10,,0.96,10,250,0.8,50,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,6158188198.931681,319994333.7845863,0.37290158271789553,2500.0,2500
CAB25,5,0.3,2500,10,,0.97,10,250,0.8,50,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,6201311546.771273,489871665.1302561,0.38645071983337403,2500.0,2500
CAB25,5,0.3,2500,10,,0.98,10,250,0.8,50,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,6311447437.740412,360242295.1574884,0.3731273651123047,2500.0,2500
CAB25,5,0.3,2500,10,,0.99,10,250,0.8,50,"[24, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 7, 24, 4, 7, 17, 17, 12, 17, 4, 12, 12, 24, 17]",24(L1); 17(L2); 4(L2); 7(L1); 12(L1),5694511254.710879,6066308624.091995,277821635.987243,0.3700951099395752,2500.0,2500
TR40,4,0.3,4000,10,,0.97,10,400,0.8,50,"[1, 31, 3, 24, 31, 24, 31, 24, 24, 3, 24, 31, 3, 1, 3, 31, 3, 1, 24, 3, 3, 3, 3, 24, 31, 31, 3, 31, 24, 31, 31, 3, 3, 1, 31, 3, 31, 3, 3, 1]",1(L1); 31(L1); 3(L2); 24(L2),9261546917.297054,9301895571.690847,34565410.820936754,0.622877550125122,4000.0,4000
TR40,4,0.3,4000,10,,0.98,10,400,0.8,50,"[1, 31, 3, 24, 31, 24, 31, 24, 24, 3, 24, 31, 3, 1, 3, 31, 3, 1, 24, 3, 3, 3, 3, 24, 31, 31, 3, 31, 24, 31, 31, 3, 3, 1, 31, 3, 31, 3, 3, 1]",1(L1); 31(L1); 3(L2); 24(L2),9261546917.297054,9530085815.929955,452382710.02236456,0.6234704971313476,4000.0,4000
TR40,4,0.3,4000,10,,0.99,10,400,0.8,50,"[1, 35, 3, 24, 35, 24, 35, 24, 24, 3, 24, 35, 3, 1, 35, 35, 3, 1, 24, 3, 3, 3, 3, 24, 35, 35, 3, 35, 24, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,9747672682.727535,431963141.16431546,0.6669961929321289,4000.0,4000
