dataset,p,max_iterations,alpha,tabu_tenure,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
CAB10,3,200,0.3,4,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,866279622.5301359,59043928.20557081,0.07166090011596679,22.8,25
CAB10,3,200,0.3,5,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,821925580.716172,12432329.435915466,0.07278194427490234,23.2,23
CAB10,3,200,0.3,6,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,867236661.2356838,58185241.84092653,0.17527661323547364,26.8,34
CAB10,3,200,0.3,7,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,865556490.6283958,56840716.573098995,0.13703274726867676,30.6,46
CAB10,4,200,0.3,6,"[4, 3, 3, 4, 4, 4, 7, 8, 4, 7]",4(L3); 3(L1); 7(L1); 8(L1),763945781.7585001,785130850.1609241,14999964.30187924,0.08809785842895508,22.6,21
CAB10,4,200,0.3,7,"[4, 6, 6, 4, 4, 6, 7, 8, 6, 7]",4(L2); 6(L2); 7(L1); 8(L1),758874444.2098601,805676291.040616,66939054.365088746,0.0906604290008545,26.4,34
CAB10,4,200,0.3,8,"[6, 6, 3, 4, 6, 6, 7, 4, 6, 7]",6(L2); 3(L1); 4(L2); 7(L1),764438520.8870599,781477320.55968,24426789.446409788,0.07326087951660157,22.8,24
CAB10,4,200,0.3,9,"[4, 6, 6, 4, 4, 6, 7, 8, 6, 7]",4(L2); 6(L2); 7(L1); 8(L1),758874444.2098601,772727522.87922,9209117.814998312,0.10908222198486328,33.0,42
CAB20,3,500,0.3,4,"[20, 20, 20, 20, 20, 20, 7, 7, 20, 7, 7, 12, 7, 20, 20, 7, 20, 20, 12, 20]",20(L3); 7(L1); 12(L1),5267564179.0358,5471909198.096508,269924828.54377705,0.5360551357269288,58.6,69
CAB20,3,500,0.3,5,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5234960866.720476,412340526.87273914,0.442474889755249,58.0,55
CAB20,3,500,0.3,6,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5146138151.1145525,144210491.59756,0.4591656684875488,57.4,56
CAB20,3,500,0.3,7,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5298781726.723501,256828253.53573617,0.5497787475585938,58.6,60
CAB20,5,500,0.3,8,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3810890967.6087837,263710933.7554472,0.7220515727996826,64.2,61
CAB20,5,500,0.3,9,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,4077184788.3124275,463041225.5210102,0.7884483814239502,64.0,71
CAB20,5,500,0.3,10,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3976086231.9350996,426512365.60229343,0.6555490970611573,61.2,71
CAB20,5,500,0.3,11,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3924588422.1445923,438666979.73777354,0.7448837757110596,69.4,87
CAB25,3,800,0.3,5,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,8293937390.218477,807339696.4859825,0.9088565349578858,92.4,94
CAB25,3,800,0.3,6,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7988514768.336128,526562969.4281379,0.8691359996795655,90.2,92
CAB25,3,800,0.3,7,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,8097687783.655477,796303226.7092328,0.8810782432556152,91.4,87
CAB25,3,800,0.3,8,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7454181515.0011015,0.0,0.9377667427062988,94.8,95
CAB25,5,800,0.3,8,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,5759293374.307829,173646122.73985636,1.4116768836975098,95.6,97
CAB25,5,800,0.3,9,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,6013473610.467276,417940544.1006187,1.368910026550293,96.4,88
