algorithm,dataset,p,alpha,solution_config,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,iter_at_best
SA,CAB10,3,0.3,"[4, 4, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),824002723.4349798,839122750.2894319,9150021.747736614,0.1444108009338379,1000
SA,CAB10,3,0.7,"[4, 2, 2, 4, 4, 4, 7, 4, 4, 7]",4(L3); 2(L1); 7(L1),966623971.4658598,1006394147.5817,42486798.38012056,0.14070334434509277,1000
SA,CAB10,4,0.3,"[9, 9, 3, 4, 9, 9, 7, 4, 9, 7]",9(L2); 3(L1); 4(L2); 7(L1),773035856.6241,813160603.6864799,25915293.257705357,0.1433701992034912,1000
SA,CAB10,4,0.7,"[1, 6, 6, 4, 6, 6, 7, 4, 6, 7]",1(L1); 6(L3); 4(L2); 7(L1),976714411.6847198,990249571.776372,15155070.191348217,0.1306377410888672,1000
SA,CAB20,3,0.3,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5102652917.281545,206398160.50790825,0.3044723987579346,2000
SA,CAB20,3,0.7,"[4, 17, 17, 4, 4, 4, 7, 4, 4, 7, 4, 7, 4, 17, 4, 7, 17, 17, 7, 17]",4(L2); 17(L3); 7(L1),6347184811.57824,7319832019.122925,1071771142.3637394,0.1635435104370117,2000
SA,CAB20,5,0.3,"[13, 17, 17, 4, 4, 4, 13, 4, 4, 13, 4, 12, 13, 14, 4, 13, 17, 17, 12, 17]",13(L1); 17(L2); 4(L2); 12(L1); 14(L1),3598241198.61482,3943807060.288836,267027661.84841532,0.27124948501586915,2000
SA,CAB20,5,0.7,"[1, 17, 17, 4, 6, 6, 1, 4, 6, 1, 4, 12, 4, 1, 4, 1, 17, 17, 12, 6]",1(L1); 17(L2); 4(L2); 6(L1); 12(L1),5441825607.820881,5783680975.978861,223615651.90816364,0.27208566665649414,2000
SA,CAB25,3,0.3,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7464725660.6614485,21088291.320695497,0.33916583061218264,2500
SA,CAB25,3,0.7,"[2, 2, 2, 4, 4, 2, 4, 4, 4, 4, 4, 12, 4, 2, 4, 4, 2, 2, 12, 2, 4, 12, 12, 2, 2]",2(L3); 4(L2); 12(L1),9661535773.97244,10733186229.117693,1531692998.5012758,0.21002206802368165,2500
SA,CAB25,5,0.3,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,6016886526.504339,200135445.9632319,0.34073362350463865,2500
SA,CAB25,5,0.7,"[20, 20, 17, 4, 20, 20, 7, 7, 20, 7, 4, 12, 4, 20, 4, 7, 17, 17, 12, 20, 4, 12, 12, 20, 20]",20(L2); 17(L2); 4(L1); 7(L1); 12(L1),8705331876.1272,8857099653.444332,192051745.51500127,0.35273032188415526,2500
SA,TR40,4,0.3,"[1, 3, 24, 35]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,9445875005.062515,267991954.66991755,0.5989834785461425,4000
SA,TR40,4,0.7,"[1, 3, 22, 24]",1(L2); 3(L2); 22(L1); 24(L1),12004208810.455769,12687187204.181625,626612405.8685915,0.5986246109008789,4000
SA,TR40,6,0.3,"[1, 3, 19, 22, 32, 35]",1(L2); 35(L1); 3(L1); 22(L1); 19(L1); 32(L1),7783631986.110522,8001729526.320299,294340512.04526883,0.6007295608520508,4000
SA,TR40,6,0.7,"[1, 3, 13, 22, 24, 26]",1(L2); 26(L1); 3(L2); 22(L1); 24(L1); 13(L1),11315880672.150373,11697281246.672688,315786389.8125788,0.5991081237792969,4000
SA,TR55,5,0.3,"[1, 4, 15, 26, 33]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,22038462706.82,1245542512.9387467,0.9163146018981934,5500
SA,TR55,5,0.7,"[1, 4, 12, 26, 31]",1(L2); 4(L1); 31(L1); 12(L2); 26(L1),30713228571.899998,31100044592.379997,335289139.7706127,0.9193177223205566,5500
SA,TR55,7,0.3,"[1, 4, 12, 15, 26, 27, 31]",1(L1); 15(L1); 4(L1); 31(L1); 12(L1); 26(L1); 27(L1),17870765298.100002,18674290623.66,727459729.9774804,0.9176620006561279,5500
SA,TR55,7,0.7,"[1, 4, 12, 19, 26, 31, 33]",1(L1); 19(L1); 4(L1); 31(L1); 12(L1); 26(L1); 33(L1),28306640174.3,28887759001.7,639695873.7281399,0.9981937885284424,5500
SA,RGP100,9,0.3,"[1, 3, 4, 5, 19, 34, 44, 53, 88]",1(L2); 5(L1); 3(L1); 4(L1); 19(L1); 53(L1); 44(L1); 88(L1); 34(L1),125166647985.91112,126624075078.21529,1018138223.5798193,2.2258397579193114,10000
SA,RGP100,12,0.3,"[33, 48, 53, 58, 63, 67, 68, 76, 79, 82, 86, 97]",58(L1); 48(L1); 68(L1); 76(L1); 67(L1); 79(L1); 63(L1); 53(L1); 33(L1); 86(L1); 97(L1); 82(L1),120733021112.64381,121438111104.92598,687058191.2619447,2.266056442260742,10000
