algorithm,dataset,p,alpha,solution_config,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,iter_at_best
TS,CAB10,3,0.3,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,844095566.184652,21028004.829472918,0.06183786392211914,25
TS,CAB10,3,0.7,"[4, 2, 2, 4, 4, 4, 7, 4, 4, 7]",4(L3); 2(L1); 7(L1),966623971.4658598,993066487.4806238,45029269.629875705,0.08182077407836914,22
TS,CAB10,4,0.3,"[4, 3, 3, 4, 4, 4, 7, 8, 4, 7]",4(L3); 3(L1); 7(L1); 8(L1),763945781.7585001,774370162.4443239,20110558.16330347,0.08235230445861816,22
TS,CAB10,4,0.7,"[4, 9, 9, 4, 4, 9, 7, 8, 9, 7]",4(L2); 9(L2); 7(L1); 8(L1),922485976.44742,943605261.1802199,15056465.721569128,0.0853034496307373,26
TS,CAB20,3,0.3,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5338877078.29806,287912219.81086755,0.37872934341430664,63
TS,CAB20,3,0.7,"[4, 17, 17, 4, 4, 4, 7, 4, 4, 7, 4, 7, 4, 17, 4, 7, 17, 17, 7, 17]",4(L2); 17(L3); 7(L1),6347184811.57824,6466496831.011309,105050530.39223865,0.3899178981781006,62
TS,CAB20,5,0.3,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3812903804.14874,395580986.4998864,0.6336938858032226,71
TS,CAB20,5,0.7,"[1, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 1, 1, 4, 1, 17, 17, 12, 17]",1(L1); 17(L2); 4(L2); 7(L1); 12(L1),5390072008.61342,5487537352.227692,94888408.3688346,0.5931320190429688,64
TS,CAB25,3,0.3,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7454181515.0011015,0.0,0.8367977619171143,90
TS,CAB25,3,0.7,"[2, 2, 2, 4, 4, 2, 4, 4, 4, 4, 4, 12, 4, 2, 4, 4, 2, 2, 12, 2, 4, 12, 12, 2, 2]",2(L3); 4(L2); 12(L1),9661535773.97244,10079604477.484814,513953249.07743025,0.7992194652557373,89
TS,CAB25,5,0.3,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,5940496326.520636,397179401.53774333,1.1633432388305665,90
TS,CAB25,5,0.7,"[1, 18, 18, 4, 4, 4, 7, 7, 4, 7, 4, 12, 1, 1, 4, 1, 18, 18, 12, 18, 4, 12, 12, 1, 18]",1(L1); 18(L2); 4(L2); 7(L1); 12(L1),8529132194.25268,8586388488.28478,68601063.70642592,1.2787529945373535,89
TS,TR40,4,0.3,"[1, 3, 24, 35]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,10184358655.936117,908152509.0412908,2.331671619415283,112
TS,TR40,4,0.7,"[3, 12, 23, 33]",33(L2); 12(L1); 3(L1); 23(L2),12854776438.314032,13206119709.184845,192735033.92097482,2.2142771244049073,111
TS,TR40,6,0.3,"[1, 3, 19, 22, 26, 31]",1(L1); 26(L1); 3(L2); 22(L1); 19(L1); 31(L1),7762686224.664932,8376594683.0702,525633046.2024782,3.387450695037842,112
TS,TR40,6,0.7,"[3, 4, 12, 14, 24, 33]",33(L2); 12(L1); 3(L2); 4(L1); 24(L1); 14(L1),11402008028.648169,12108071244.86347,679148906.5088557,3.2927805900573732,118
TS,TR55,5,0.3,"[1, 4, 15, 30, 37]",1(L1); 15(L1); 4(L2); 37(L1); 30(L2),22637993056.300003,22943437436.94,259560152.25245577,4.611904239654541,122
TS,TR55,5,0.7,"[1, 4, 17, 30, 31]",1(L1); 17(L1); 4(L1); 31(L1); 30(L2),30638551918.999996,34011923225.559998,2548812364.0196967,4.351633167266845,105
TS,TR55,7,0.3,"[1, 4, 10, 26, 33, 41, 42]",1(L1); 42(L1); 10(L1); 4(L2); 33(L1); 41(L1); 26(L2),19799245599.4,20879326980.940002,966598083.7402347,6.016040706634522,120
TS,TR55,7,0.7,"[1, 4, 5, 17, 30, 31, 33]",1(L1); 17(L1); 4(L1); 5(L1); 33(L1); 30(L2); 31(L1),28143587511.799995,29369134621.579998,1082333509.1255538,6.310454893112182,121
TS,RGP100,9,0.3,"[3, 12, 24, 30, 40, 52, 61, 94, 99]",3(L1); 24(L1); 12(L1); 52(L2); 99(L1); 94(L1); 61(L1); 40(L1); 30(L1),126555400836.24225,127445872601.80363,719441968.4136496,27.75724105834961,158
TS,RGP100,12,0.3,"[2, 14, 18, 23, 35, 45, 54, 66, 70, 74, 76, 79]",76(L1); 2(L1); 14(L1); 74(L1); 35(L1); 54(L1); 79(L1); 18(L1); 23(L1); 45(L1); 66(L1); 70(L1),120880714814.06598,122046583170.57376,708934615.339804,37.32355995178223,205
SA,CAB10,3,0.3,"[4, 4, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),824002723.4349798,839122750.2894319,9150021.747736614,0.1444108009338379,1000
SA,CAB10,3,0.7,"[4, 2, 2, 4, 4, 4, 7, 4, 4, 7]",4(L3); 2(L1); 7(L1),966623971.4658598,1006394147.5817,42486798.38012056,0.14070334434509277,1000
SA,CAB10,4,0.3,"[9, 9, 3, 4, 9, 9, 7, 4, 9, 7]",9(L2); 3(L1); 4(L2); 7(L1),773035856.6241,813160603.6864799,25915293.257705357,0.1433701992034912,1000
SA,CAB10,4,0.7,"[1, 6, 6, 4, 6, 6, 7, 4, 6, 7]",1(L1); 6(L3); 4(L2); 7(L1),976714411.6847198,990249571.776372,15155070.191348217,0.1306377410888672,1000
SA,CAB20,3,0.3,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5102652917.281545,206398160.50790825,0.3044723987579346,2000
SA,CAB20,3,0.7,"[4, 17, 17, 4, 4, 4, 7, 4, 4, 7, 4, 7, 4, 17, 4, 7, 17, 17, 7, 17]",4(L2); 17(L3); 7(L1),6347184811.57824,7319832019.122925,1071771142.3637394,0.1635435104370117,2000
SA,CAB20,5,0.3,"[13, 17, 17, 4, 4, 4, 13, 4, 4, 13, 4, 12, 13, 14, 4, 13, 17, 17, 12, 17]",13(L1); 17(L2); 4(L2); 12(L1); 14(L1),3598241198.61482,3943807060.288836,267027661.84841532,0.27124948501586915,2000
SA,CAB20,5,0.7,"[1, 17, 17, 4, 6, 6, 1, 4, 6, 1, 4, 12, 4, 1, 4, 1, 17, 17, 12, 6]",1(L1); 17(L2); 4(L2); 6(L1); 12(L1),5441825607.820881,5783680975.978861,223615651.90816364,0.27208566665649414,2000
SA,CAB25,3,0.3,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7464725660.6614485,21088291.320695497,0.33916583061218264,2500
SA,CAB25,3,0.7,"[2, 2, 2, 4, 4, 2, 4, 4, 4, 4, 4, 12, 4, 2, 4, 4, 2, 2, 12, 2, 4, 12, 12, 2, 2]",2(L3); 4(L2); 12(L1),9661535773.97244,10733186229.117693,1531692998.5012758,0.21002206802368165,2500
SA,CAB25,5,0.3,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,6016886526.504339,200135445.9632319,0.34073362350463865,2500
SA,CAB25,5,0.7,"[20, 20, 17, 4, 20, 20, 7, 7, 20, 7, 4, 12, 4, 20, 4, 7, 17, 17, 12, 20, 4, 12, 12, 20, 20]",20(L2); 17(L2); 4(L1); 7(L1); 12(L1),8705331876.1272,8857099653.444332,192051745.51500127,0.35273032188415526,2500
SA,TR40,4,0.3,"[1, 3, 24, 35]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,9445875005.062515,267991954.66991755,0.5989834785461425,4000
SA,TR40,4,0.7,"[1, 3, 22, 24]",1(L2); 3(L2); 22(L1); 24(L1),12004208810.455769,12687187204.181625,626612405.8685915,0.5986246109008789,4000
SA,TR40,6,0.3,"[1, 3, 19, 22, 32, 35]",1(L2); 35(L1); 3(L1); 22(L1); 19(L1); 32(L1),7783631986.110522,8001729526.320299,294340512.04526883,0.6007295608520508,4000
SA,TR40,6,0.7,"[1, 3, 13, 22, 24, 26]",1(L2); 26(L1); 3(L2); 22(L1); 24(L1); 13(L1),11315880672.150373,11697281246.672688,315786389.8125788,0.5991081237792969,4000
SA,TR55,5,0.3,"[1, 4, 15, 26, 33]",1(L1); 15(L1); 4(L2); 33(L1); 26(L2),20553945536.1,22038462706.82,1245542512.9387467,0.9163146018981934,5500
SA,TR55,5,0.7,"[1, 4, 12, 26, 31]",1(L2); 4(L1); 31(L1); 12(L2); 26(L1),30713228571.899998,31100044592.379997,335289139.7706127,0.9193177223205566,5500
SA,TR55,7,0.3,"[1, 4, 12, 15, 26, 27, 31]",1(L1); 15(L1); 4(L1); 31(L1); 12(L1); 26(L1); 27(L1),17870765298.100002,18674290623.66,727459729.9774804,0.9176620006561279,5500
SA,TR55,7,0.7,"[1, 4, 12, 19, 26, 31, 33]",1(L1); 19(L1); 4(L1); 31(L1); 12(L1); 26(L1); 33(L1),28306640174.3,28887759001.7,639695873.7281399,0.9981937885284424,5500
SA,RGP100,9,0.3,"[1, 3, 4, 5, 19, 34, 44, 53, 88]",1(L2); 5(L1); 3(L1); 4(L1); 19(L1); 53(L1); 44(L1); 88(L1); 34(L1),125166647985.91112,126624075078.21529,1018138223.5798193,2.2258397579193114,10000
SA,RGP100,12,0.3,"[33, 48, 53, 58, 63, 67, 68, 76, 79, 82, 86, 97]",58(L1); 48(L1); 68(L1); 76(L1); 67(L1); 79(L1); 63(L1); 53(L1); 33(L1); 86(L1); 97(L1); 82(L1),120733021112.64381,121438111104.92598,687058191.2619447,2.266056442260742,10000
