dataset,p,max_iterations,alpha,tabu_tenure,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
CAB10,3,200,0.3,4,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,827958096.660416,11361423.262049388,0.06732029914855957,24.6,22
CAB10,3,200,0.3,5,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,887318734.2636639,73074248.30118927,0.07420010566711426,26.0,24
CAB10,3,200,0.3,6,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,866701435.2403519,59048993.554926105,0.06531448364257812,24.2,24
CAB10,3,200,0.3,7,"[4, 3, 3, 4, 4, 4, 7, 4, 4, 7]",4(L3); 3(L1); 7(L1),811774626.2387798,818764180.888572,9439687.634627972,0.06779994964599609,23.8,26
CAB10,5,200,0.3,6,"[6, 6, 3, 4, 6, 6, 7, 8, 6, 7]",6(L2); 3(L1); 4(L2); 7(L1); 8(L1),716593421.89738,733548237.16474,9029681.031351449,0.07919998168945312,24.4,25
CAB10,5,200,0.3,7,"[6, 6, 3, 4, 6, 6, 7, 8, 6, 7]",6(L2); 3(L1); 4(L2); 7(L1); 8(L1),716593421.89738,736380489.664352,19567575.111774832,0.08610734939575196,26.2,24
CAB10,5,200,0.3,8,"[1, 6, 6, 4, 4, 6, 7, 8, 6, 7]",1(L1); 6(L2); 4(L2); 7(L1); 8(L1),731864977.4232,753045253.239932,21088061.717138197,0.08320002555847168,24.6,23
CAB10,5,200,0.3,9,"[1, 3, 3, 4, 4, 4, 7, 8, 4, 7]",1(L1); 3(L1); 4(L3); 7(L1); 8(L1),738733323.14276,739658168.265212,755132.8803697006,0.1122426986694336,33.2,23
CAB20,3,500,0.3,4,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5067422958.900416,162680194.16266763,0.4500275135040283,61.4,58
CAB20,3,500,0.3,5,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5010063184.539836,170043316.45705745,0.42322793006896975,59.6,51
CAB20,3,500,0.3,6,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5218310873.654256,181368501.16328496,0.409226131439209,59.6,57
CAB20,3,500,0.3,7,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",4(L3); 17(L3); 12(L1),4873988217.96512,5210199390.466153,206179128.77897897,0.42104477882385255,60.4,61
CAB20,5,500,0.3,8,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3821691078.3623915,410804638.2646243,0.6294703006744384,62.6,64
CAB20,5,500,0.3,9,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3766909290.727896,231462495.7621198,0.6237600803375244,62.8,58
CAB20,5,500,0.3,10,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3897357676.141772,213546992.61042428,0.6153669357299805,61.8,66
CAB20,5,500,0.3,11,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),3512662544.2027597,3809082068.686612,455563963.773889,0.7346403121948242,68.4,64
CAB25,3,800,0.3,5,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,8300857292.802732,1057508693.480459,0.8301350116729737,92.6,96
CAB25,3,800,0.3,6,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7811918468.151921,715473906.3016399,0.8960784435272217,97.6,104
CAB25,3,800,0.3,7,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7702745452.832573,304427408.0719922,0.9094433307647705,100.8,108
CAB25,3,800,0.3,8,"[4, 18, 18, 4, 4, 18, 4, 4, 4, 4, 4, 12, 4, 18, 4, 4, 18, 18, 12, 18, 4, 12, 12, 18, 18]",4(L2); 18(L3); 12(L1),7454181515.0011015,7811918468.151921,715473906.3016399,0.8640477180480957,97.0,104
CAB25,5,800,0.3,8,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,5883521735.766955,290927735.76417506,1.3964067935943603,94.0,95
