dataset,p,max_iterations,alpha,tabu_tenure,best_solution,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
CAB10,3,200,0.3,4,"[4, 3, 3, 4, 4, 4, 7, 7, 4, 7]",543.1565788,618.5082218,75.35164308,2.447016954,23,23
CAB10,3,200,0.3,5,"[6, 6, 6, 4, 6, 6, 7, 7, 6, 7]",529.9235647,529.9235647,0,3.186164737,28,26
CAB10,3,200,0.3,6,"[6, 6, 6, 4, 6, 6, 7, 7, 6, 7]",529.9235647,536.5400717,6.616507028,2.459943056,24,24
CAB10,3,200,0.3,7,"[6, 6, 6, 4, 6, 6, 7, 7, 6, 7]",529.9235647,611.8917148,81.96815011,3.52265501,34.5,43
CAB10,5,200,0.3,6,"[1, 6, 3, 4, 6, 6, 7, 7, 6, 7]",371.1562275,375.1070926,3.950865141,2.987880468,24.5,28
CAB10,5,200,0.3,7,"[6, 6, 3, 4, 6, 6, 7, 8, 6, 7]",366.950832,369.0535298,2.102697748,3.212074161,26,25
CAB10,5,200,0.3,8,"[1, 6, 3, 4, 6, 6, 7, 7, 6, 7]",371.1562275,397.2503604,26.09413292,3.423484564,28,25
CAB10,5,200,0.3,9,"[1, 6, 3, 4, 6, 6, 7, 7, 6, 7]",371.1562275,371.1562275,0,2.845264316,23.5,25
CAB10,5,200,0.3,10,"[1, 6, 3, 4, 6, 6, 7, 7, 6, 7]",371.1562275,375.1070926,3.950865141,3.450027466,28.5,23
CAB20,3,500,0.3,5,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",786.152458,854.8495118,68.69705378,57.58257806,59,61
CAB20,3,500,0.3,6,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 7, 4, 17, 4, 7, 17, 17, 7, 17]",835.9907041,862.577587,26.5868829,55.51713133,57.5,60
CAB20,3,500,0.3,7,"[20, 20, 20, 20, 20, 20, 7, 7, 20, 7, 7, 12, 7, 20, 20, 7, 20, 20, 12, 20]",871.9232285,897.734897,25.81166855,56.80875552,59,61
CAB20,5,500,0.3,9,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",549.5891707,669.5044648,119.9152941,80.98744726,57,58
CAB20,5,500,0.3,10,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",549.5891707,549.5891707,0,90.50892532,62.5,67
CAB20,5,500,0.3,11,"[20, 17, 17, 4, 20, 20, 7, 7, 20, 7, 4, 12, 4, 20, 4, 7, 17, 17, 12, 20]",611.6307594,627.2639079,15.6331485,79.27550781,56,57
CAB25,3,1200,0.3,5,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17, 4, 12, 12, 4, 17]",835.4212396,835.4212396,0,271.473515,138.5,134
CAB25,3,1200,0.3,7,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17, 4, 12, 12, 4, 17]",835.4212396,835.4212396,0,251.6403484,127.5,129
CAB25,3,1200,0.3,9,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17, 4, 12, 12, 4, 17]",835.4212396,835.4212396,0,288.7917947,147.5,158
CAB25,5,1200,0.3,7,"[21, 17, 17, 21, 6, 6, 21, 21, 6, 21, 21, 12, 21, 14, 21, 21, 17, 17, 12, 6, 21, 12, 12, 14, 17]",658.0217213,664.5010775,6.479356262,388.8357856,132.5,131
CAB25,5,1200,0.3,8,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",623.2396456,623.2396456,0,413.9259791,138.5,142
CAB25,5,1200,0.3,9,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",623.2396456,623.2396456,0,414.840678,136,144
CAB25,5,1200,0.3,10,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",623.2396456,623.2396456,0,439.0334916,144.5,148
