dataset,p,max_iterations,alpha,tabu_tenure,best_solution,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
CAB10,3,200,0.3,4,"[4, 3, 3, 4, 4, 4, 7, 7, 4, 7]",543.1565787512436,555.1343828939687,11.977804142725063,0.023490548133850098,21.5,21
CAB10,3,200,0.3,5,"[4, 3, 3, 4, 4, 4, 7, 7, 4, 7]",543.1565787512436,543.1565787512436,0.0,0.02284383773803711,23.0,24
CAB10,3,200,0.3,6,"[6, 6, 6, 4, 6, 6, 7, 7, 6, 7]",529.9235646958136,536.5400717235286,6.616507027714988,0.027548909187316895,28.0,32
CAB10,3,200,0.3,7,"[6, 6, 6, 4, 6, 6, 7, 7, 6, 7]",529.9235646958136,536.5400717235286,6.616507027714988,0.03127419948577881,31.5,38
CAB10,5,200,0.3,6,"[6, 6, 3, 4, 6, 6, 7, 8, 6, 7]",366.95083200775554,369.05352975595235,2.102697748196789,0.02846837043762207,24.5,25
CAB10,5,200,0.3,7,"[1, 6, 3, 4, 6, 6, 7, 7, 6, 7]",371.1562275041491,371.1562275041491,0.0,0.030186057090759277,26.0,27
CAB10,5,200,0.3,8,"[1, 6, 3, 4, 6, 6, 7, 7, 6, 7]",371.1562275041491,397.25036042738634,26.094132923237197,0.038222312927246094,33.0,34
CAB10,5,200,0.3,9,"[1, 6, 3, 4, 6, 6, 7, 7, 6, 7]",371.1562275041491,403.72149261869066,32.565265114541546,0.032465219497680664,28.0,33
CAB20,3,500,0.3,4,"[20, 20, 20, 20, 20, 20, 7, 7, 20, 7, 7, 7, 7, 14, 20, 7, 20, 20, 7, 20]",923.5465655822809,956.013391261811,32.46682567953013,0.17890417575836182,57.0,59
CAB20,3,500,0.3,5,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",786.1524580126974,811.0715810475197,24.919123034822235,0.18885374069213867,59.5,63
CAB20,3,500,0.3,6,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 7, 4, 17, 4, 7, 17, 17, 7, 17]",835.9907040823418,860.3804478609803,24.38974377863849,0.16911554336547852,54.5,55
CAB20,3,500,0.3,7,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17]",786.1524580126974,837.6584639519556,51.50600593925827,0.1896371841430664,57.0,58
CAB20,5,500,0.3,8,"[4, 17, 17, 4, 4, 4, 7, 8, 4, 7, 4, 12, 4, 17, 4, 7, 17, 17, 12, 17]",638.0670241233561,679.0803720898103,41.01334796645426,0.3065180778503418,65.5,71
CAB20,5,500,0.3,9,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17]",549.5891707047899,573.8612778553239,24.272107150533998,0.283359169960022,61.5,69
CAB20,5,500,0.3,10,"[4, 17, 3, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 14, 4, 4, 17, 17, 12, 17]",642.8970563573972,666.6427201068955,23.74566374949825,0.28244996070861816,61.0,62
CAB20,5,500,0.3,11,"[20, 17, 17, 4, 20, 20, 7, 7, 20, 7, 4, 12, 4, 20, 4, 7, 17, 17, 12, 20]",611.6307593577236,630.7900270208515,19.159267663127935,0.26723527908325195,59.0,56
CAB25,3,1200,0.3,5,"[4, 17, 17, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 17, 4, 4, 17, 17, 12, 17, 4, 12, 12, 4, 17]",835.4212396422531,872.9556957367512,37.53445609449807,0.6395448446273804,139.5,133
