dataset,p,max_iterations,alpha,tabu_tenure,best_solution,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
TR40,3,1000,0.3,7,"[33, 31, 33, 33, 31, 24, 31, 24, 24, 33, 24, 31, 33, 31, 33, 31, 33, 33, 24, 33, 33, 33, 24, 24, 31, 31, 33, 31, 24, 31, 31, 33, 33, 33, 31, 33, 31, 24, 33, 33]",644.2556569443473,696.3103119736102,52.054655029262904,1.185853123664856,107.0,107
TR40,3,1000,0.3,8,"[14, 14, 3, 24, 14, 24, 14, 24, 24, 3, 24, 14, 3, 14, 3, 14, 3, 14, 24, 3, 3, 3, 3, 24, 14, 14, 3, 14, 24, 14, 14, 3, 3, 3, 14, 3, 14, 3, 3, 14]",635.4184002070083,669.2534587315647,33.83505852455636,1.2303094863891602,107.0,108
TR40,3,1000,0.3,9,"[14, 14, 3, 24, 14, 24, 14, 24, 24, 3, 24, 14, 3, 14, 3, 14, 3, 14, 24, 3, 3, 3, 3, 24, 14, 14, 3, 14, 24, 14, 14, 3, 3, 3, 14, 3, 14, 3, 3, 14]",635.4184002070083,639.8370285756778,4.418628368669488,1.2357113361358643,111.0,113
TR40,5,1000,0.3,10,"[1, 35, 3, 24, 27, 24, 35, 24, 24, 3, 24, 35, 3, 1, 27, 35, 3, 1, 24, 3, 3, 3, 3, 24, 35, 35, 27, 35, 24, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",534.7591095661936,598.1896593239471,63.430549757753454,1.9790960550308228,116.0,125
TR40,5,1000,0.3,11,"[1, 35, 3, 22, 35, 19, 35, 22, 19, 3, 19, 35, 3, 1, 35, 35, 22, 1, 19, 22, 3, 22, 3, 19, 35, 35, 3, 35, 19, 35, 1, 3, 22, 22, 35, 3, 35, 3, 3, 1]",500.72507099047715,553.4047961087026,52.679725118225434,1.9325443506240845,114.0,115
TR40,5,1000,0.3,12,"[1, 35, 3, 4, 35, 19, 35, 4, 19, 3, 19, 35, 3, 1, 35, 35, 4, 1, 19, 3, 3, 3, 3, 19, 35, 35, 3, 35, 19, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",505.98195758953943,548.0144186862794,42.03246109674001,1.9739431142807007,116.5,109
TR55,5,1000,0.3,11,"[1, 15, 15, 4, 4, 37, 30, 30, 15, 15, 4, 30, 30, 37, 15, 30, 15, 30, 1, 37, 37, 15, 1, 4, 1, 30, 30, 4, 4, 30, 4, 30, 30, 1, 15, 15, 37, 15, 37, 30, 15, 15, 4, 30, 4, 37, 1, 15, 4, 15, 15, 30, 4, 1, 1]",546.8373387013244,559.0541453690598,12.216806667735455,4.163646817207336,133.0,130
TR55,5,1000,0.3,12,"[1, 15, 15, 4, 33, 15, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",495.7728170668215,495.7728170668215,0.0,3.9055999517440796,125.5,135
TR55,5,1000,0.3,13,"[1, 15, 15, 4, 31, 15, 30, 30, 15, 15, 31, 30, 30, 4, 15, 30, 15, 30, 1, 4, 15, 15, 1, 31, 1, 30, 30, 4, 4, 30, 31, 30, 30, 1, 15, 15, 4, 15, 4, 30, 15, 15, 4, 30, 31, 15, 31, 15, 4, 15, 15, 30, 4, 1, 1]",537.6699013067368,549.3908834190415,11.720982112304682,4.021957039833069,129.0,118
TR55,7,1000,0.3,13,"[1, 15, 15, 4, 31, 37, 33, 26, 15, 15, 31, 26, 26, 4, 15, 26, 15, 4, 1, 37, 37, 15, 1, 31, 1, 26, 33, 4, 4, 26, 31, 4, 33, 1, 15, 15, 37, 15, 37, 26, 15, 15, 4, 4, 31, 37, 31, 15, 4, 15, 15, 26, 4, 1, 1]",433.31393248799634,447.3964105229855,14.082478034989151,5.481851577758789,127.5,124
TR55,7,1000,0.3,14,"[1, 19, 15, 4, 31, 15, 33, 26, 15, 15, 31, 26, 26, 4, 15, 26, 15, 4, 19, 4, 15, 15, 1, 31, 1, 26, 33, 4, 4, 26, 31, 4, 33, 19, 15, 15, 4, 15, 4, 26, 15, 19, 4, 4, 31, 15, 31, 15, 4, 15, 15, 26, 4, 19, 1]",440.00670187078674,455.28092890884756,15.274227038060815,5.182530403137207,120.5,116
TR55,7,1000,0.3,15,"[1, 19, 15, 4, 33, 37, 33, 26, 15, 15, 4, 26, 26, 4, 15, 26, 15, 4, 19, 37, 37, 15, 1, 4, 1, 26, 33, 4, 4, 26, 4, 4, 33, 19, 15, 15, 37, 15, 37, 26, 15, 19, 4, 4, 4, 37, 1, 15, 4, 15, 15, 26, 4, 19, 1]",448.66539329792556,479.21105492195596,30.5456616240304,5.432296872138977,126.5,121
